@relation usef

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute ufreq_colloquialism_n_01 numeric
@attribute ufreq_intensifier_n_01 numeric
@attribute ufreq_slang_n_02 numeric
@attribute ufreq_plural_n_01 numeric
@attribute ufreq_archaism_n_01 numeric
@attribute ufreq_combining_form_n_01 numeric
@attribute ufreq_comparative_n_01 numeric
@attribute ufreq_disparagement_n_01 numeric
@attribute ufreq_ethnic_slur_n_01 numeric
@attribute ufreq_irony_n_03 numeric


@data
Doyle,0.5957446808510638,0.08156028368794326,0.06382978723404255,0.0425531914893617,0.06382978723404255,0.031914893617021274,0.02127659574468085,0,0,0.02127659574468085
Doyle,0.5,0.15,0,0.25,0,0.025,0.07500000000000001,0,0,0
Doyle,0.6818181818181818,0.18181818181818182,0.045454545454545456,0,0,0.09090909090909091,0,0,0,0
Doyle,0.5686274509803921,0.18627450980392157,0.08823529411764706,0.0392156862745098,0.0392156862745098,0.049019607843137254,0,0.00980392156862745,0,0
Doyle,0.45454545454545453,0.21818181818181817,0,0.09090909090909091,0,0.03636363636363637,0.10909090909090909,0,0,0
Doyle,0.5,0.06818181818181818,0.022727272727272728,0.22727272727272727,0.045454545454545456,0.022727272727272728,0,0,0,0.045454545454545456
Doyle,0.6071428571428571,0.2857142857142857,0.10714285714285714,0,0,0,0,0,0,0
Doyle,0.8,0,0,0,0,0,0,0,0,0
Doyle,0.5833333333333334,0.16666666666666666,0.03333333333333333,0.1,0.03333333333333333,0,0.03333333333333333,0,0,0
Doyle,0.5454545454545454,0.09090909090909091,0.18181818181818182,0,0.09090909090909091,0,0,0,0,0.09090909090909091
Doyle,0.5512820512820512,0.09743589743589744,0.07692307692307693,0.20512820512820512,0.038461538461538464,0.007692307692307693,0.02307692307692308,0,0,0
Doyle,0.5909090909090909,0.10606060606060606,0.045454545454545456,0.09090909090909091,0.12121212121212122,0.045454545454545456,0,0,0,0
Doyle,0.7727272727272727,0.0303030303030303,0,0,0,0.045454545454545456,0,0,0,0.09090909090909091
Doyle,0.6347517730496455,0.12056737588652483,0.053191489361702135,0.04964539007092199,0.021276595744680854,0.04255319148936171,0.021276595744680854,0,0,0
Doyle,0.5512820512820512,0.16666666666666666,0.01282051282051282,0.07692307692307693,0.05128205128205128,0.0641025641025641,0.05128205128205128,0,0,0
Doyle,0.5000000000000001,0.08333333333333334,0,0,0,0,0,0,0,0
Doyle,0.5416666666666666,0.10416666666666667,0.0625,0.0625,0.08333333333333333,0,0.041666666666666664,0,0,0.041666666666666664
Doyle,0.7058823529411765,0.05555555555555555,0.058823529411764705,0.09803921568627451,0.0196078431372549,0.00980392156862745,0.0196078431372549,0,0,0
Doyle,0.5,0.1625,0.03125,0.09375,0.09375,0.0375,0.05,0,0,0.03125
Doyle,0.7241379310344828,0.10344827586206896,0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0,0,0,0
Doyle,0.5583333333333333,0,0.16666666666666666,0.05,0.1,0,0,0,0,0.1
Doyle,0.5476190476190477,0.3333333333333333,0.07142857142857142,0.047619047619047616,0,0,0,0,0,0
Doyle,0.5,0.16666666666666666,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.021739130434782608,0.043478260869565216,0,0,0
Doyle,0.7368421052631579,0,0.05263157894736842,0,0.10526315789473684,0.05263157894736842,0,0,0,0
