@relation wordngram

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute c2gram_ofthe numeric
@attribute c2gram_inthe numeric
@attribute c2gram_tothe numeric
@attribute c2gram_itwas numeric
@attribute c2gram_tobe numeric
@attribute c2gram_andthe numeric
@attribute c2gram_onthe numeric
@attribute c2gram_itis numeric
@attribute c2gram_atthe numeric
@attribute c2gram_ofhis numeric
@attribute c3gram_therewasa numeric
@attribute c3gram_outofthe numeric
@attribute c3gram_itwasa numeric
@attribute c3gram_oneofthe numeric
@attribute c3gram_thatitwas numeric
@attribute c3gram_icannot numeric
@attribute c3gram_therewasno numeric
@attribute c3gram_idonot numeric
@attribute c3gram_thathewas numeric
@attribute c3gram_thathehad numeric


@data
Doyle,0.006351108448172558,0.005392450569203115,0.004433792690233673,0.0021569802276812464,0.0005991611743559018,0.0016776512881965249,0.0011983223487118035,0.001437986818454164,0.002037147992810066,0.0016776512881965249,0.0006364562118126273,0.00038187372708757637,0.00038187372708757637,0.0005091649694501018,0.0002545824847250509,0.0002545824847250509,0.0002545824847250509,0.0002545824847250509,0.0002545824847250509,0.001145621181262729
Doyle,0.0028462998102466793,0.003795066413662239,0.0018975332068311196,0.0009487666034155598,0,0.0009487666034155598,0.0028462998102466793,0,0.0028462998102466793,0,0,0,0,0,0.0010649627263045794,0,0,0,0,0
Doyle,0.009135628952916374,0.006324666198172874,0.0021082220660576245,0.0035137034434293743,0.0021082220660576245,0.0014054813773717498,0.0007027406886858749,0.0035137034434293743,0.0014054813773717498,0.0007027406886858749,0.000744047619047619,0,0,0,0,0.000744047619047619,0,0,0,0
Doyle,0.004298206610345339,0.004149992589298948,0.0028160663998814286,0.002074996294649474,0.0011857121683711278,0.0007410701052319549,0.0013339261894175188,0.0022232103156958646,0.0019267822736030828,0.0005928560841855639,0.00015708451146716933,0.00031416902293433867,0.000471253534401508,0.000471253534401508,0,0.00015708451146716933,0.00031416902293433867,0.00015708451146716933,0.00015708451146716933,0
Doyle,0.0029655990510083037,0.0071174377224199285,0.0011862396204033216,0.004151838671411625,0.0017793594306049821,0.0017793594306049821,0.0005931198102016608,0.002372479240806643,0.002372479240806643,0.0005931198102016608,0.0012578616352201257,0.0006289308176100629,0.0018867924528301887,0,0,0,0,0,0.0006289308176100629,0
Doyle,0.004973945997157745,0.0028422548555187117,0.0018948365703458077,0.0018948365703458077,0.0011842728564661299,0.0004737091425864519,0.0018948365703458077,0.0004737091425864519,0.0021316911416390336,0.0004737091425864519,0,0.00025451768897938407,0.0005090353779587681,0,0,0,0.00025451768897938407,0,0,0
Doyle,0.007554560716284275,0.005316172355903749,0.0016787912702853946,0.002238388360380526,0.0008393956351426973,0.0013989927252378287,0.0008393956351426973,0.00195858981533296,0.0027979854504756574,0.001119194180190263,0.0008973975471133712,0.0005982650314089142,0,0.0002991325157044571,0.0002991325157044571,0,0.0002991325157044571,0,0.0002991325157044571,0.0005982650314089142
Doyle,0.0072869955156950675,0.002802690582959641,0.0011210762331838565,0.003923766816143498,0.0005605381165919282,0,0.0005605381165919282,0,0.002802690582959641,0.0016816143497757848,0,0.0005931198102016608,0.0011862396204033216,0.0005931198102016608,0,0.0005931198102016608,0,0,0.0005931198102016608,0.0005931198102016608
Doyle,0.005352866600929708,0.00394421749542189,0.0023947034793632906,0.003521622763769545,0.0015495140160585999,0.001972108747710945,0.001972108747710945,0.0015495140160585999,0.000704324552753909,0.0008451894633046908,0.0004447079750963534,0.0004447079750963534,0.0004447079750963534,0.0002964719833975689,0.0002964719833975689,0,0.0005929439667951378,0,0.0005929439667951378,0.0007411799584939224
Doyle,0.0068924183398261915,0.006293077614623914,0.002097692538207971,0.0017980221756068325,0.0014983518130056938,0.00239736290080911,0.001198681450404555,0.00239736290080911,0.001198681450404555,0.001198681450404555,0.0003123048094940662,0,0,0.0009369144284821987,0.0006246096189881324,0,0,0,0.0009369144284821987,0
