@relation charngram

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute c2gram_s* numeric
@attribute c2gram_e* numeric
@attribute c2gram_t* numeric
@attribute c2gram_d* numeric
@attribute c2gram_^w numeric
@attribute c2gram_re numeric
@attribute c2gram_er numeric
@attribute c2gram_as numeric
@attribute c2gram_ed numeric
@attribute c2gram_^t numeric
@attribute c3gram_ed* numeric
@attribute c3gram_re* numeric
@attribute c3gram_^th numeric
@attribute c3gram_ere numeric
@attribute c3gram_her numeric
@attribute c3gram_the numeric
@attribute c3gram_ly* numeric
@attribute c3gram_ing numeric
@attribute c3gram_ng* numeric
@attribute c3gram_er* numeric
@attribute c4gram_ther numeric
@attribute c4gram_here numeric
@attribute c4gram_^the numeric
@attribute c4gram_ere* numeric
@attribute c4gram_ing* numeric
@attribute c4gram_ked* numeric
@attribute c4gram_ght* numeric
@attribute c4gram_red* numeric
@attribute c4gram_thin numeric
@attribute c4gram_ied* numeric


@data
Doyle,0.0412071967498549,0.01857225769007545,0.01857225769007545,0.024956471271038887,0.023215322112594312,0.022634939059779455,0.013929193267556587,0.022054556006964595,0.02089378990133488,0.012188044109112013,0.028215767634854772,0.014107883817427386,0.00995850622406639,0.010788381742738589,0.007468879668049793,0.006639004149377593,0.007468879668049793,0.008298755186721992,0.009128630705394191,0.004149377593360996,0.008918617614269788,0.008918617614269788,0.008918617614269788,0.007803790412486065,0.010033444816053512,0.005574136008918618,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705
Doyle,0.034383954154727794,0.02865329512893983,0.025787965616045846,0.022922636103151862,0.0057306590257879654,0.008595988538681949,0.011461318051575931,0.0028653295128939827,0.017191977077363897,0.0028653295128939827,0.023076923076923078,0.007692307692307693,0.0038461538461538464,0.0038461538461538464,0.007692307692307693,0.0038461538461538464,0.0038461538461538464,0,0,0.007692307692307693,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0,0.005319148936170213,0,0.005319148936170213,0,0.010638297872340425
Doyle,0.03234501347708895,0.03504043126684636,0.008086253369272238,0.0215633423180593,0.02425876010781671,0.026954177897574125,0.008086253369272238,0.0215633423180593,0.018867924528301886,0.01078167115902965,0.024390243902439025,0.017421602787456445,0.006968641114982578,0.010452961672473868,0.006968641114982578,0.006968641114982578,0.010452961672473868,0.010452961672473868,0.010452961672473868,0,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.004629629629629629,0.013888888888888888,0,0,0,0,0.013888888888888888
Doyle,0.032665964172813484,0.026343519494204427,0.02107481559536354,0.03371970495258166,0.030558482613277135,0.014752370916754479,0.012644889357218124,0.03161222339304531,0.02107481559536354,0.015806111696522657,0.03236797274275979,0.01192504258943782,0.01192504258943782,0.01192504258943782,0.010221465076660987,0.008517887563884156,0.017035775127768313,0.008517887563884156,0.008517887563884156,0.005110732538330494,0.01288659793814433,0.01288659793814433,0.01288659793814433,0.01288659793814433,0.01288659793814433,0.020618556701030927,0.002577319587628866,0.002577319587628866,0.010309278350515464,0.005154639175257732
Doyle,0.04087193460490463,0.008174386920980926,0.035422343324250684,0.02997275204359673,0.02452316076294278,0.008174386920980926,0.005449591280653951,0.021798365122615803,0.01907356948228883,0.01634877384196185,0.028,0.008,0.016,0.004,0.004,0.004,0.004,0,0,0.004,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0,0.0053475935828877,0.0053475935828877,0,0.0106951871657754,0.0106951871657754
Doyle,0.028314028314028315,0.02702702702702703,0.02445302445302445,0.036036036036036036,0.02574002574002574,0.010296010296010296,0.011583011583011582,0.019305019305019305,0.018018018018018018,0.011583011583011582,0.026694045174537988,0.006160164271047228,0.012320328542094456,0.002053388090349076,0.002053388090349076,0.002053388090349076,0.008213552361396304,0.008213552361396304,0.004106776180698152,0.01642710472279261,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006644518272425249,0.013289036544850499,0.013289036544850499,0,0.009966777408637873,0.013289036544850499
Doyle,0.02986857825567503,0.027479091995221028,0.014336917562724014,0.02867383512544803,0.019115890083632018,0.019115890083632018,0.025089605734767026,0.014336917562724014,0.021505376344086023,0.016726403823178016,0.0288,0.016,0.016,0.0128,0.0176,0.0144,0.0096,0.0096,0.0112,0.0144,0.019027484143763214,0.016913319238900635,0.016913319238900635,0.014799154334038054,0.010570824524312896,0.012684989429175475,0.004228329809725159,0.0021141649048625794,0.004228329809725159,0.012684989429175475
Doyle,0.04435483870967742,0.012096774193548387,0.024193548387096774,0.04032258064516129,0.03225806451612903,0.012096774193548387,0.012096774193548387,0.04435483870967742,0.028225806451612902,0.004032258064516129,0.05,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.009345794392523364,0.009345794392523364,0.009345794392523364,0.009345794392523364,0.009345794392523364,0.028037383177570093,0.009345794392523364,0.009345794392523364,0,0.009345794392523364
Doyle,0.03166986564299424,0.02783109404990403,0.02495201535508637,0.03742802303262956,0.025911708253358926,0.028790786948176585,0.025911708253358926,0.02399232245681382,0.02399232245681382,0.02015355086372361,0.0343878954607978,0.023383768913342505,0.02200825309491059,0.023383768913342505,0.015130674002751032,0.015130674002751032,0.011004126547455296,0.005502063273727648,0.005502063273727648,0.005502063273727648,0.021825396825396824,0.01984126984126984,0.01984126984126984,0.01984126984126984,0.007936507936507936,0.017857142857142856,0.007936507936507936,0.005952380952380952,0.005952380952380952,0.00992063492063492
Doyle,0.02576112412177986,0.02576112412177986,0.01873536299765808,0.03981264637002342,0.01873536299765808,0.0117096018735363,0.02107728337236534,0.02107728337236534,0.02107728337236534,0.0117096018735363,0.0313588850174216,0.003484320557491289,0.006968641114982578,0.003484320557491289,0.010452961672473868,0.006968641114982578,0.017421602787456445,0,0.003484320557491289,0.013937282229965157,0.009433962264150943,0.0047169811320754715,0.0047169811320754715,0.0047169811320754715,0,0.018867924528301886,0,0,0,0.009433962264150943
Doyle,0.04032258064516129,0.016129032258064516,0.02217741935483871,0.04032258064516129,0.02620967741935484,0.008064516129032258,0.006048387096774193,0.028225806451612902,0.024193548387096774,0.006048387096774193,0.03488372093023256,0.005813953488372093,0.0029069767441860465,0.005813953488372093,0.0029069767441860465,0.0029069767441860465,0.020348837209302327,0,0,0.0029069767441860465,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0,0.017167381974248927,0.004291845493562232,0,0,0.008583690987124463
Doyle,0.038535645472061654,0.024084778420038536,0.014450867052023121,0.02601156069364162,0.023121387283236993,0.009633911368015413,0.016377649325626204,0.02119460500963391,0.018304431599229287,0.009633911368015413,0.025991792065663474,0.009575923392612859,0.009575923392612859,0.005471956224350205,0.004103967168262654,0.004103967168262654,0.008207934336525308,0.016415868673050615,0.006839945280437756,0.009575923392612859,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.00749063670411985,0.0018726591760299626,0.0018726591760299626,0.0056179775280898875,0.009363295880149813
Doyle,0.04219409282700422,0.02531645569620253,0.02531645569620253,0.02109704641350211,0.027426160337552744,0.012658227848101266,0.02109704641350211,0.02531645569620253,0.0189873417721519,0.008438818565400843,0.02572347266881029,0.01929260450160772,0.012861736334405145,0.01929260450160772,0.022508038585209004,0.012861736334405145,0.00964630225080386,0.00964630225080386,0.00964630225080386,0,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.013043478260869565,0.004347826086956522,0,0,0.008695652173913044,0.021739130434782608
Doyle,0.03611738148984198,0.03611738148984198,0.025583145221971408,0.025583145221971408,0.028592927012791574,0.03235515425131678,0.02708803611738149,0.02633559066967645,0.014296463506395787,0.019563581640331076,0.022067363530778164,0.030197444831591175,0.024390243902439025,0.026713124274099883,0.022067363530778164,0.023228803716608595,0.012775842044134728,0.005807200929152149,0.005807200929152149,0.006968641114982578,0.03220338983050847,0.030508474576271188,0.030508474576271188,0.025423728813559324,0.00847457627118644,0.00847457627118644,0.005084745762711864,0.005084745762711864,0.006779661016949152,0.001694915254237288
Doyle,0.03615604186489058,0.022835394862036156,0.022835394862036156,0.03139866793529972,0.019029495718363463,0.010466222645099905,0.009514747859181731,0.02093244529019981,0.02093244529019981,0.003805899143672693,0.02789400278940028,0.008368200836820083,0.005578800557880056,0.002789400278940028,0.005578800557880056,0.002789400278940028,0.01394700139470014,0.011157601115760111,0.011157601115760111,0.002789400278940028,0.0038535645472061657,0.0038535645472061657,0.0038535645472061657,0.0038535645472061657,0.015414258188824663,0.0038535645472061657,0.0038535645472061657,0,0.007707129094412331,0.009633911368015413
Doyle,0.03939393939393939,0.030303030303030304,0.012121212121212121,0.04242424242424243,0.01818181818181818,0.00909090909090909,0.00909090909090909,0.021212121212121213,0.03333333333333333,0.00909090909090909,0.043478260869565216,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.007905138339920948,0.003952569169960474,0.011857707509881422,0.003952569169960474,0.007905138339920948,0.003952569169960474,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.01744186046511628,0.005813953488372093,0,0,0.01744186046511628
Doyle,0.032809295967190705,0.02050580997949419,0.021872863978127138,0.030758714969241284,0.01572112098427888,0.015037593984962405,0.01845522898154477,0.019138755980861243,0.019138755980861243,0.010252904989747095,0.02681992337164751,0.007662835249042145,0.01053639846743295,0.006704980842911878,0.008620689655172414,0.005747126436781609,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.00646830530401035,0.00646830530401035,0.00646830530401035,0.00646830530401035,0.01034928848641656,0.01164294954721863,0.00646830530401035,0.00129366106080207,0.0038809831824062097,0.00517464424320828
Doyle,0.037014563106796114,0.02912621359223301,0.01699029126213592,0.02669902912621359,0.032766990291262135,0.022451456310679612,0.019417475728155338,0.028519417475728157,0.019417475728155338,0.018810679611650484,0.026690391459074734,0.02224199288256228,0.02491103202846975,0.020462633451957295,0.017793594306049824,0.017793594306049824,0.011565836298932384,0.00800711743772242,0.008896797153024912,0.004448398576512456,0.024330900243309004,0.023114355231143552,0.023114355231143552,0.023114355231143552,0.009732360097323601,0.00851581508515815,0.006082725060827251,0.0036496350364963502,0.0072992700729927005,0.004866180048661801
Doyle,0.026851098454027666,0.02034174125305126,0.01952807160292921,0.03336045565500407,0.01790073230268511,0.02034174125305126,0.01708706265256306,0.01627339300244101,0.026037428803905614,0.013018714401952807,0.03686635944700461,0.013824884792626729,0.014976958525345621,0.013824884792626729,0.013824884792626729,0.012672811059907835,0.0069124423963133645,0.01152073732718894,0.014976958525345621,0.00576036866359447,0.016793893129770993,0.015267175572519083,0.015267175572519083,0.015267175572519083,0.015267175572519083,0.015267175572519083,0.004580152671755725,0.0030534351145038168,0.007633587786259542,0.0061068702290076335
Doyle,0.03662597114317425,0.025527192008879023,0.018867924528301886,0.022197558268590455,0.0244173140954495,0.018867924528301886,0.01553829078801332,0.026637069922308545,0.016648168701442843,0.017758046614872364,0.024875621890547265,0.009950248756218905,0.008291873963515755,0.01658374792703151,0.011608623548922056,0.011608623548922056,0.006633499170812604,0.003316749585406302,0.004975124378109453,0.003316749585406302,0.019230769230769232,0.016483516483516484,0.013736263736263736,0.013736263736263736,0.005494505494505495,0.01098901098901099,0.0027472527472527475,0.01098901098901099,0,0.005494505494505495
Doyle,0.044905008635578586,0.024179620034542316,0.015544041450777202,0.03281519861830743,0.03281519861830743,0.022452504317789293,0.012089810017271158,0.03281519861830743,0.017271157167530225,0.018998272884283247,0.027472527472527472,0.02197802197802198,0.016483516483516484,0.013736263736263736,0.01098901098901099,0.008241758241758242,0.01098901098901099,0.008241758241758242,0.008241758241758242,0,0.012295081967213115,0.012295081967213115,0.012295081967213115,0.012295081967213115,0.00819672131147541,0,0.004098360655737705,0.004098360655737705,0.012295081967213115,0.004098360655737705
Doyle,0.03479576399394856,0.0226928895612708,0.01059001512859304,0.025718608169440244,0.02118003025718608,0.018154311649016642,0.0226928895612708,0.02118003025718608,0.018154311649016642,0.009077155824508321,0.021505376344086023,0.012903225806451613,0.008602150537634409,0.008602150537634409,0.015053763440860216,0.008602150537634409,0.008602150537634409,0.008602150537634409,0.008602150537634409,0.015053763440860216,0.011627906976744186,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.00872093023255814,0.00872093023255814,0,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465
Doyle,0.025031289111389236,0.016270337922403004,0.025031289111389236,0.028785982478097622,0.012515644555694618,0.017521902377972465,0.02002503128911139,0.010012515644555695,0.02002503128911139,0.007509386733416771,0.026923076923076925,0.013461538461538462,0.009615384615384616,0.007692307692307693,0.0057692307692307696,0.0057692307692307696,0.0057692307692307696,0.0038461538461538464,0.0038461538461538464,0.019230769230769232,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.0049382716049382715,0.007407407407407408,0.0049382716049382715,0,0,0
Doyle,0.037889039242219216,0.03247631935047361,0.017591339648173207,0.02165087956698241,0.009472259810554804,0.028416779431664412,0.014884979702300407,0.009472259810554804,0.014884979702300407,0.02029769959404601,0.019120458891013385,0.021032504780114723,0.022944550669216062,0.017208413001912046,0.017208413001912046,0.015296367112810707,0.0057361376673040155,0.0019120458891013384,0.0019120458891013384,0,0.019851116625310174,0.019851116625310174,0.019851116625310174,0.01488833746898263,0.0024813895781637717,0,0.0024813895781637717,0.0024813895781637717,0.007444168734491315,0.0024813895781637717
