@relation wordf

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute wfreq_the numeric
@attribute wfreq_i numeric
@attribute wfreq_he numeric
@attribute wfreq_it numeric
@attribute wfreq_was numeric
@attribute wfreq_a numeric
@attribute wfreq_to numeric
@attribute wfreq_but numeric
@attribute wfreq_and numeric
@attribute wfreq_in numeric


@data
Doyle,0.0533596837944664,0.023715415019762844,0.03359683794466403,0.016798418972332016,0.024703557312252964,0.025691699604743084,0.012845849802371542,0.010869565217391304,0.009881422924901186,0.01383399209486166
Doyle,0.04878048780487805,0.00975609756097561,0.014634146341463415,0.004878048780487805,0,0.004878048780487805,0.00975609756097561,0.004878048780487805,0.03414634146341464,0.004878048780487805
Doyle,0.06077348066298342,0.04419889502762431,0.0055248618784530384,0.04419889502762431,0.03314917127071823,0.027624309392265192,0.011049723756906077,0.0055248618784530384,0.022099447513812154,0.027624309392265192
Doyle,0.030848329048843187,0.07969151670951156,0.015424164524421594,0.028277634961439587,0.02313624678663239,0.014138817480719794,0.015424164524421594,0.012853470437017995,0.016709511568123392,0.017994858611825194
Doyle,0.043668122270742356,0.048034934497816595,0.026200873362445413,0.021834061135371178,0.026200873362445413,0.026200873362445413,0.008733624454148471,0.013100436681222707,0.008733624454148471,0.008733624454148471
Doyle,0.030560271646859084,0.06621392190152801,0.03225806451612903,0.01697792869269949,0.01697792869269949,0.022071307300509338,0.010186757215619695,0.006791171477079796,0.003395585738539898,0.008488964346349746
Doyle,0.03505154639175258,0.024742268041237112,0.024742268041237112,0.02268041237113402,0.016494845360824743,0.01443298969072165,0.012371134020618556,0.006185567010309278,0.016494845360824743,0.004123711340206186
Doyle,0.03535353535353535,0.050505050505050504,0.06060606060606061,0.015151515151515152,0.04040404040404041,0.03535353535353535,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.015151515151515152
Doyle,0.058823529411764705,0.04103967168262654,0.04377564979480164,0.019151846785225718,0.02188782489740082,0.02188782489740082,0.01094391244870041,0.009575923392612859,0.013679890560875513,0.009575923392612859
Doyle,0.03169014084507042,0.0528169014084507,0.05985915492957746,0.007042253521126761,0.02112676056338028,0.04225352112676056,0.007042253521126761,0.014084507042253521,0.007042253521126761,0.01056338028169014
