@relation sensef

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute sfreq_pos numeric
@attribute sfreq_neg numeric
@attribute sfreq_obj numeric


@data
Doyle,0.025723421110034617,0.038232464413006866,0.9360441144769578
Doyle,0.01658487739501395,0.028701662045937257,0.9547134605590513
Doyle,0.043546208669977736,0.04534437773310448,0.9111094135969192
Doyle,0.0379451216474266,0.035090648485029845,0.9269642298675411
Doyle,0.030690607302153273,0.03237527895094425,0.9369341137469023
Doyle,0.02757983492370107,0.040787298583919745,0.9316328664923806
Doyle,0.02737174168103994,0.030892158412897077,0.941736099906064
Doyle,0.03660072961059802,0.042457526174631444,0.9209417442147746
Doyle,0.02486395820875101,0.03396812617883524,0.9411679156124155
Doyle,0.020949977480638995,0.04394586049130956,0.9351041620280471
Doyle,0.029330730035518462,0.024751521145856475,0.9459177488186259
Doyle,0.0243597246910217,0.029169230042747213,0.9464710452662268
Doyle,0.03439655235339966,0.04297749126674855,0.9226259563798496
Doyle,0.03784461619822591,0.04771663270802905,0.9144387510937476
Doyle,0.029102615002595356,0.040444069129021626,0.9304533158683811
Doyle,0.017607006023946804,0.028048000519217624,0.9543449934568372
Doyle,0.03135058978761234,0.041879782394337546,0.926769627818039
Doyle,0.028008681968392377,0.036834672746446,0.9351566452851587
Doyle,0.025206409417544807,0.03113301607032095,0.9436605745121319
Doyle,0.03216885087959631,0.03902026626438807,0.9288108828560171
Doyle,0.02415886445294735,0.04328242479723964,0.9325587107498117
Doyle,0.02705296072795235,0.03202210410180575,0.9409249351702431
Doyle,0.023165847337412466,0.034679032090990325,0.9421551205715994
Doyle,0.029551586031047183,0.04631814410369425,0.9241302698652654
Doyle,0.04034696663574649,0.043280037500491995,0.9163729958637609
Doyle,0.02549691968377612,0.030140703138575867,0.94436237717765
Doyle,0.023793324515487588,0.027665403303808383,0.9485412721807
Doyle,0.03838205251216706,0.04008436512053615,0.9215335823673035
Doyle,0.028297516664848033,0.045419872658904355,0.9262826106762495
Doyle,0.02897048099592912,0.047674705843745994,0.9233548131603301
Doyle,0.030882788099917825,0.038494067120548675,0.9306231447795391
Doyle,0.03681169311667755,0.04676570916637957,0.9164225977169437
Doyle,0.02813852462342598,0.06079146604434748,0.9110700093322277
Doyle,0.030717344222741468,0.06807612655023236,0.901206529227024
Doyle,0.02301128309746195,0.04132267393112305,0.9356660429714173
Doyle,0.0293457266498018,0.04690489469011862,0.9237493786600858
Austen,0.03836247506539338,0.06960256389315017,0.8920349610414585
Austen,0.03579803590820517,0.03774566624549149,0.926456297846303
Austen,0.0362795807383009,0.0588003552267673,0.9049200640349312
Austen,0.037514323150382584,0.07878489270415383,0.8837007841454655
Austen,0.03592969434382177,0.06038665214825188,0.903683653507926
Austen,0.05186996166308152,0.08075477484363025,0.8673752634932893
Austen,0.024662325581232894,0.06643010537961914,0.9089075690391479
Austen,0.04354001080367336,0.07568279632355655,0.8807771928727708
Austen,0.027650411540214206,0.06831094131855225,0.9040386471412347
Austen,0.033447338672407935,0.04059756994313782,0.9259550913844568
Austen,0.026830978437680734,0.0687420265956148,0.9044269949667054
Austen,0.029946651227015585,0.05395723189878051,0.9160961168742029
Austen,0.041244808698830175,0.0867273992869379,0.8720277920142326
Austen,0.026785027355539014,0.05238164869076864,0.920833323953694
Austen,0.0433502397686126,0.08442332334177538,0.8722264368896111
Austen,0.033894368560056655,0.05153667305952754,0.9145689583804167
Austen,0.023344327018211233,0.05124700747258071,0.9254086655092071
Austen,0.03505802399858661,0.03379457513985644,0.9311474008615587
Austen,0.033213395313959226,0.08115261148625809,0.8856339931997825
Austen,0.032772473749937234,0.07118112161180726,0.8960464046382558
Austen,0.028624502821484255,0.04625564950642352,0.9251198476720933
Austen,0.038080960545658876,0.03323528004408941,0.9286837594102528
Austen,0.03744428077312846,0.06021861763034131,0.9023371015965301
Austen,0.03455506804947885,0.05546950138822526,0.9099754305622977
Austen,0.030403551488752113,0.062252456225362594,0.9073439922858848
Austen,0.032666933578617566,0.057130370977805975,0.9102026954435819
Austen,0.036479320473128546,0.06566696010387961,0.8978537194229905
Austen,0.03299322548289727,0.07618738709738863,0.8908193874197147
Austen,0.033541325500914085,0.06627685357799085,0.9001818209210932
Austen,0.020337659248294296,0.05893748241756257,0.9207248583341429
Austen,0.02653970824235904,0.052847060387524465,0.920613231370113
Austen,0.026168208358057984,0.047935970844805435,0.9258958207971363
Austen,0.04269863723513639,0.0818083213649114,0.8754930413999501
Austen,0.03499986973970666,0.04943005395731657,0.9155700763029802
Austen,0.027354543640607198,0.07308328708598194,0.8995621692734098
Austen,0.03661355028774937,0.02912900243349327,0.9342574472787575
Austen,0.03657790737544907,0.06666501803208273,0.8967570745924699
Austen,0.03303602774220527,0.09033270661838906,0.876631265639404
Austen,0.030222738286434455,0.07322183758988926,0.8965554241236787
Austen,0.052527254406453776,0.07920162882718873,0.868271116766356
Austen,0.03812678646658927,0.046334549219037534,0.9155386643143765
Austen,0.030518730894911462,0.041461380009478514,0.9280198890956111
Stoker,0.029080022897711014,0.051757282937710224,0.9191626941645741
Stoker,0.03126647886714451,0.0423112434547342,0.9264222776781248
Stoker,0.03913595676480013,0.06316442349110235,0.8976996197440984
Stoker,0.03288978667153393,0.04602249551566363,0.9210877178128088
Stoker,0.04744010046501512,0.03659602757666441,0.9159638719583224
Stoker,0.03783851745463741,0.037981490982247006,0.9241799915631134
Stoker,0.04168285560136201,0.06470048134525988,0.8936166630533768
Stoker,0.03225938157072059,0.0484136719087377,0.9193269465205424
